formula,Density Score,Peak Score
Ag3P11,1.835,1.448
AcAu3,1.383,1.403
Ag2O,0.964,0.947
Ag2MoO4,0.792,-0.449
AcCdRh2,0.750,-1.395
AcHgAu2,0.382,-0.737
Ag2SeO3,0.308,-0.459
AcI3,0.255,0.143
Ac2NiIr,0.200,0.326
Ac3Sn,0.009,-1.007
AcGa3,-0.036,0.340
Ac2CuIr,-0.291,0.020
Ag2CO3,-0.649,0.866
Ac,-0.728,1.822
Ac2ZnGe,-3.510,0.144
