formula,prediction,density,Peak Score
Ac,50.634,0.705,1.822
Ag3P11,82.833,0.042,1.448
AcAu3,81.136,0.266,1.403
Ag2O,75.928,0.376,0.947
Ag2CO3,71.549,1.219,0.866
AcGa3,47.496,0.210,0.340
Ac2NiIr,69.315,0.654,0.326
Ac2ZnGe,47.611,2.281,0.144
AcI3,46.278,0.004,0.143
Ac2CuIr,66.516,0.871,0.020
