formula,prediction,density,Density Score
Ag3P11,82.833,0.042,1.835
AcAu3,81.136,0.266,1.383
Ag2O,75.928,0.376,0.964
Ag2MoO4,58.264,0.005,0.792
AcCdRh2,58.767,0.043,0.750
AcHgAu2,64.784,0.424,0.382
Ag2SeO3,59.448,0.325,0.308
AcI3,46.278,0.004,0.255
Ac2NiIr,69.315,0.654,0.200
Ac3Sn,40.677,0.000,0.009
