"sample","filename","pair","SB","code"
"27-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/27-MBovis_S3_L001-4_R2_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"182-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/182-MBovis_S4_L001-4_R1_001.fastq.gz",1,"SB0263",1.10110100000111E+042
"24-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/24-MBovis_S2_L001-4_R2_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"35-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/35-MBovis_S30_L001-4_R2_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"54-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/54-MBovis_S24_L001-4_R2_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"43-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/43-MBovis_S11_L001-4_R2_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"48-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/48-MBovis_S17_L001-4_R2_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"49-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/49-MBovis_S40_L001-4_R1_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"25-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/25-MBovis_S1_L001-4_R2_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"36-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/36-MBovis_S38_L001-4_R1_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"41-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/41-MBovis_S39_L001-4_R1_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"38-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/38-MBovis_S34_L001-4_R1_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"23-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/23-MBovis_S26_L001-4_R1_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"14-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/14-MBovis_S21_L001-4_R1_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"47-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/47-MBovis_S8_L001-4_R1_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"39-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/39-MBovis_S27_L001-4_R1_001.fastq.gz",1,,1.10010100000111E+042
"50-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/50-MBovis_S23_L001-4_R1_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"29-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/29-MBovis_S37_L001-4_R1_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"59-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/59-MBovis_S33_L001-4_R2_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"30-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/30-MBovis_S41_L001-4_R2_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"44-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/44-MBovis_S16_L001-4_R1_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"45-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/45-MBovis_S22_L001-4_R1_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"42-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/42-MBovis_S28_L001-4_R1_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"51-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/51-MBovis_S46_L001-4_R1_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"161-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/161-MBovis_S29_L001-4_R1_001.fastq.gz",1,"SB0273",1.10110100000111E+042
"37-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/37-MBovis_S6_L001-4_R1_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"56-MBovis","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/56-MBovis_S13_L001-4_R2_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"3-10110","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_15-03-19/3-10110_S39_L001-4_R1_001.fastq.gz",1,"SB0054",1.10010100000111E+042
"19-11957","/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_15-03-19/19-11957_S38_L001-4_R1_001.fastq.gz",1,"SB0054",1.10010100000111E+042
