name,type,L,s,apx,apy,system,subsystem,inst,dtype,device,desc
FS_PTG:PTA_D1000,PTA,0,100,0.04,0.04,FS,PTG,D1000,PTA,PTA,target and object position
FS_PTG:PTA_DFT_D1000_1,DRIFT,0.102,100.051,0.04,0.04,NONE,NONE,NONE,NONE,NONE,drift_11
FS_PTG:PTA_DFT_D1000_2,DRIFT,0.4,100.302,0.04,0.04,NONE,NONE,NONE,NONE,NONE,space for post-target shield
FS_PTG:PTA_DFT_D1000_3,DRIFT,0.03153,100.517765,0.04,0.04,NONE,NONE,NONE,NONE,NONE,drift_13
FS_PTG:PTA_DFT_D1000_4,DRIFT,0.093,100.58003,0.04,0.04,NONE,NONE,NONE,NONE,NONE,space for vacuum separation valve
FS_PTG:PTA_DFT_D1000_5,DRIFT,0.361633,100.807347,0.04,0.04,NONE,NONE,NONE,NONE,NONE,drift_15
FS_F1S1:Q_D1013,QUAD,0.623673,101.3,0.208,0.208,FS,F1S1,D1013,QUAD_FSQ1,Q,RT quadrupole
FS_F1S1:Q_DFT_D1013_1,DRIFT,0.188163,101.705918,0.208,0.208,NONE,NONE,NONE,NONE,NONE,drift_17
FS_F1S1:Q_DFT_D1013_2,DRIFT,0.176,101.888,0.208,0.208,NONE,NONE,NONE,NONE,NONE,front shield for WIQ2
FS_F1S1:Q_D1024,QUAD,0.798,102.375,0.26,0.26,FS,F1S1,D1024,QUAD_FSQ2,Q,SC quadrupole with higher-order correctors
FS_F1S1:S_D1024,SEXT,0,102.375,0.26,0.26,FS,F1S1,D1024,SEXT_FSQ2,S,
FS_F1S1:OCT_D1024,OCT,0,102.375,0.26,0.26,FS,F1S1,D1024,OCT_FSQ2,OCT,
FS_F1S1:OCT_DFT_D1024,DRIFT,0.302,102.925,0.26,0.26,NONE,NONE,NONE,NONE,NONE,drift_22
FS_F1S1:Q_D1035,QUAD,0.798,103.475,0.26,0.26,FS,F1S1,D1035,QUAD_FSQ2,Q,SC quadrupole with higher-order correctors
FS_F1S1:S_D1035,SEXT,0,103.475,0.26,0.26,FS,F1S1,D1035,SEXT_FSQ2,S,
FS_F1S1:OCT_D1035,OCT,0,103.475,0.26,0.26,FS,F1S1,D1035,OCT_FSQ2,OCT,
FS_F1S1:OCT_DFT_D1035,DRIFT,0.276,104.012,0.26,0.26,NONE,NONE,NONE,NONE,NONE,drift_26
FS_F1S1:CLLM_D1045,CLLM,0.6,104.45,0.26,0.26,FS,F1S1,D1045,CLLM,CLLM,
FS_F1S1:CLLM_DFT_D1045_1,DRIFT,0.431369,104.965684,0.26,0.26,NONE,NONE,NONE,NONE,NONE,drift_28
FS_F1S1:CLLM_DFT_D1045_2,DRIFT,0.218631,105.290684,0.26,0.26,NONE,NONE,NONE,NONE,NONE,drift_29
FS_F1S1:CLLM_DFT_D1045_3,DRIFT,0,105.4,0.26,0.26,NONE,NONE,NONE,NONE,NONE,Entrance Point of dipole at D1064
FS_F1S1:DV_D1064,BEND,2.094395,106.447198,0.26,0.26,FS,F1S1,D1064,BEND_FSD1,DV,
FS_F1S1:DV_DFT_D1064_1,DRIFT,0,107.494395,0.26,0.26,NONE,NONE,NONE,NONE,NONE,Exit Point of dipole at D1064
FS_F1S1:DV_DFT_D1064_2,DRIFT,0.19323,107.59101,0.26,0.26,NONE,NONE,NONE,NONE,NONE,drift_33
FS_F1S1:DV_DFT_D1064_3,DRIFT,0.001586,107.688419,0.26,0.26,NONE,NONE,NONE,NONE,NONE,drift_34
FS_F1S1:DV_DFT_D1064_4,DRIFT,0.0508,107.714612,0.26,0.26,NONE,NONE,NONE,NONE,NONE,placeholder for anticipated complimentary diagnostics
FS_F1S1:DV_DFT_D1064_5,DRIFT,0.050798,107.765411,0.26,0.26,NONE,NONE,NONE,NONE,NONE,drift_36
FS_F1S1:DV_DFT_D1064_6,DRIFT,0.327027,107.954324,0.26,0.26,NONE,NONE,NONE,NONE,NONE,drift_37
FS_PBD:BD_D1081,DUMP,0,108.117837,0.26,0.26,FS,PBD,D1081,BD,BD,beam dump
FS_PBD:BD_DFT_D1081_1,DRIFT,0.089558,108.162616,0.26,0.26,NONE,NONE,NONE,NONE,NONE,drift_39
FS_PBD:BD_DFT_D1081_2,DRIFT,0.237469,108.32613,0.26,0.26,NONE,NONE,NONE,NONE,NONE,drift_41
FS_PBD:BD_DFT_D1081_3,DRIFT,0.071803,108.480766,0.26,0.26,NONE,NONE,NONE,NONE,NONE,drift_42
FS_PBD:BD_DFT_D1081_4,DRIFT,0,108.516667,0.26,0.26,NONE,NONE,NONE,NONE,NONE,fragment catchers (entrance plane)
FS_PBD:BD_DFT_D1081_5,DRIFT,0.0508,108.542067,0.26,0.26,NONE,NONE,NONE,NONE,NONE,drift_44
